_65_exemptions,additions,balance_due,basic_exemptions,blind_exemptions,county,dec_spouse,earn_income_credits,earn_income_returns,education_credits,education_returns,enterprise_zone_credit,married,married_sep,overpayments,property_tax_credits,property_tax_returns,reported_liability,retirement_amounts,retirement_returns,returns,single,subtractions,total_agi,widowed
8300,1424870764,2243980,58712,127,ADAMS,55,547137,5296,342518,846,11072,13253,263,5358315,1449969,13733,33754840,168289001,8420,30631,16994,185620164,1404057354,66
649,85822254,202050,5328,6,ALEXANDER,6,112116,860,4442,27,0,957,28,334883,31361,727,1823961,15190170,719,2493,1496,15687093,85486665,6
1878,304244550,486692,13649,19,BOND,14,124056,1211,13467,64,15,3282,45,1099135,336541,3179,6876279,46725320,2048,6786,3433,49412029,301411388,12
4728,1228306613,1245395,52200,72,BOONE,42,376038,3396,365871,1341,0,10852,193,5619606,2188466,10501,29531837,145538444,6065,22684,11554,159783620,1213527665,43
624,99841338,248056,4395,12,BROWN,4,33163,318,9422,36,0,1053,9,362228,75777,1041,2428032,12006317,613,2286,1215,13045866,99033698,5
4663,722543543,1607979,31244,77,BUREAU,32,261251,2517,96460,332,5890,7241,166,2835574,871580,7276,16940426,98433199,4919,16005,8526,105172275,715262888,40
660,97229689,191447,4208,13,CALHOUN,4,29641,269,16338,56,0,1104,20,298769,80469,982,2224878,15690752,695,2097,961,16534139,96448258,8
2724,323674588,926283,14313,47,CARROLL,10,119269,1198,12467,57,6410,3561,93,1294655,369257,3390,7148717,59754839,2686,7569,3853,63643846,318848334,52
1480,262043707,563118,12759,15,CASS,21,136236,1203,21015,82,0,2595,37,1068041,210296,2459,6061846,31543064,1608,6128,3464,35679815,257349617,11
15889,4363025015,5872081,146430,343,CHAMPAIGN,215,1266205,11682,779877,2187,123762,29770,1121,16097075,5373613,30352,103415225,572393024,18640,78146,46898,628829411,4269275082,142
4259,705262457,1726017,29901,54,CHRISTIAN,32,279832,2668,114571,330,158,6867,136,2482690,621971,7137,16292769,100382671,4719,15399,8327,106555991,699445386,37
2149,313313746,859586,14446,24,CLARK,25,124496,1194,4095,25,0,3517,72,1084324,255306,3108,7391445,44092378,2213,7314,3679,48371660,308362032,21
1662,231075046,500084,11999,25,CLAY,19,132438,1303,3192,15,472,2854,59,953393,160817,2650,5300307,29924030,1721,6042,3100,31880251,228416343,10
4257,847125501,1043939,32469,58,CLINTON,37,195313,2001,245841,655,0,7725,136,2866347,1043533,7909,19827321,110509026,4979,16733,8796,125955124,834245414,39
5246,957641647,1595624,37943,106,COLES,41,381499,3746,83536,254,356,8494,167,3304309,962415,8259,21831467,145314902,5859,20132,11386,157390186,944868653,44
137274,62802031999,73725063,2165216,2965,COOK-CHICAGO,3131,33029913,266376,17711055,54044,2091450,268091,12504,277257824,56307599,306299,1618142972,4258987205,179888,1092734,807519,5013565650,61865540931,1489
