Date,ZIP Code,Revenue Interest - Garage Parking Tax,Revenue Interest - Ridesharing Tax,Revenue Interest - Alcohol Tax,"Revenue Interest - Tax on Sports, Theater, Other Entertainment",Revenue Interest - Cigarette Tax,Revenue Interest - Hotel Tax,Revenue Interest - Shopping Bag Tax,Revenue Interest - Property Tax,Revenue Interest - Sales Tax,Revenue Interest - Permit Fees,Revenue Interest - License Fees,Revenue Interest - Other,Expense Interest - Police,Expense Interest - Other Public Safety,Expense Interest - Infrastructure,Expense Interest - Community,Expense Interest - Streets and Sanitation,Expense Interest - City Development,Expense Interest - Libraries,Expense Interest - Regulatory,Expense Interest - Cultural Affairs and Special Events,Expense Interest - Other,Spending Change - Police,Spending Change - Other Public Safety,Spending Change - Infrastructure,Spending Change - Community,Spending Change - Streets and Sanitation,Spending Change - City Development,Spending Change - Libraries,Spending Change - Regulatory,Spending Change - Cultural Affairs and Special Events,Revenue Change - Garage Parking Tax,Revenue Change - Ridesharing Tax,Revenue Change - Alcohol Tax,"Revenue Change - Tax on Sports, Theater, Other Entertainment",Revenue Change - Cigarette Tax,Revenue Change - Hotel Tax,Revenue Change - Shopping Bag Tax,Revenue Change - Property Tax,Revenue Change - Sales Tax,Revenue Change - Permit Fees,Revenue Change - License Fees,$1000 Assignment - Police,$1000 Assignment - Other Public Safety,$1000 Assignment - Infrastructure Services,$1000 Assignment - Community,$1000 Assignment - Streets and Sanitation,$1000 Assignment - City Development,$1000 Assignment - Libraries,$1000 Assignment - Regulatory,$1000 Assignment - Cultural Affairs and Special Events,$1000 Assignment - Total,Counter Column
09/07/2019,60619,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Increase Budget,Keep Budget the Same,Reduce Budget,Increase Budget,Reduce Budget,Increase Budget,No Opinion,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,No Opinion,Increase Tax or Fee,No Opinion,,,,,0,0,500,100,0,,200,,200,1000,1
08/29/2019,60632,false,false,false,false,false,false,false,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,,,,,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,,,Increase Tax or Fee,Increase Tax or Fee,300,200,200,100,,100,,50,50,1000,1
09/14/2019,60602,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,true,true,true,false,false,false,true,Keep Budget the Same,Keep Budget the Same,Increase Budget,Increase Budget,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Keep Budget the Same,No Opinion,No Opinion,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,No Opinion,,,,,,,,,,0,1
09/12/2019,60622,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,false,false,false,,,,,,Reduce Budget,Reduce Budget,,Reduce Budget,Increase Tax or Fee,,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Increase Tax or Fee,,Keep Tax or Fee the Same,,Increase Tax or Fee,Increase Tax or Fee,250,250,150,100,200,,50,0,0,1000,1
09/07/2019,60645,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Increase Tax or Fee,Increase Tax or Fee,No Opinion,No Opinion,No Opinion,No Opinion,,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,No Opinion,,,,,,,,,,0,1
09/06/2019,60628,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,Keep Budget the Same,Keep Budget the Same,,,,,,,,Increase Tax or Fee,,,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Increase Tax or Fee,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,Keep Tax or Fee the Same,,,,,,,,,,0,1
09/05/2019,60661,true,false,false,true,false,false,false,true,true,true,true,false,true,true,false,false,false,false,false,true,false,false,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Reduce Budget,Increase Budget,Keep Budget the Same,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,,,Increase Tax or Fee,Increase Tax or Fee,,,,,,,,1000,,1000,1
09/03/2019,60608,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,Increase Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,,,,Increase Tax or Fee,,Increase Tax or Fee,,,150,50,250,50,150,50,50,50,150,950,1
08/25/2019,60613,false,true,false,true,true,true,true,false,false,false,false,false,false,false,true,true,false,false,false,true,true,false,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,No Opinion,250,250,100,100,100,50,50,50,50,1000,1
08/25/2019,60646,false,false,false,false,false,false,true,true,true,false,false,false,true,true,true,true,true,false,false,false,false,false,,Increase Budget,Keep Budget the Same,Increase Budget,Keep Budget the Same,Reduce Budget,Keep Budget the Same,Keep Budget the Same,Keep Budget the Same,No Opinion,No Opinion,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,,No Opinion,Keep Tax or Fee the Same,Keep Tax or Fee the Same,No Opinion,No Opinion,700,200,,100,,,,,,1000,1
08/16/2019,60602,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,Reduce Budget,Reduce Budget,Reduce Budget,Keep Budget the Same,Reduce Budget,Reduce Budget,Reduce Budget,Reduce Budget,,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,,Increase Tax or Fee,Increase Tax or Fee,Increase Tax or Fee,200,100,200,50,150,100,,,,800,1
